State/Group,State/Group ID ,Number of farms,Number of farms,Average Farm Size (acres),Average Farm Size (acres),Farms with internet access (percent),Farms with internet access (percent),Farms using internet to purchase agricultural needs (percent),Farms using internet to purchase agricultural needs (percent),Farms using internet to conduct agricultural marketing (percent),Farms using internet to conduct agricultural marketing (percent),Farms with computer or laptop (percent),Farms with a smartphone (percent),Farms with tablet or other wireless computer (percent),Farms using precision agriculture practices to manage crops or livestock (percent)
,,2019,2021,2019,2021,2019,2021,2019,2021,2019,2021,2021,2021,2021,2021
Alabama,1,38800,38500,214,213,74,83,17,32,15,20,63,83,26,22
Arizona/Nevada,3,22350,22400,1379,1379,63,63,26,31,22,19,53,49,28,23
Arkansas,4,42300,42000,331,333,76,76,25,19,21,25,59,76,27,23
California,5,69900,69000,348,351,85,90,27,29,23,21,88,84,29,39
Colorado,6,38700,39000,822,815,84,84,40,33,30,26,71,75,26,23
Florida,9,47400,47500,205,204,83,83,29,37,20,20,65,78,26,8
Georgia,10,41500,41300,246,247,86,94,25,39,16,21,72,90,51,9
Idaho,12,24600,24600,467,467,92,95,29,38,22,23,79,81,37,24
Illinois,13,71400,70900,378,381,79,90,21,30,25,32,75,85,33,48
Indiana,14,56000,55100,266,269,79,79,19,27,20,20,65,58,24,31
Iowa,15,85300,84900,359,359,75,82,25,32,34,32,72,73,31,52
Kansas,16,58500,58600,781,780,82,91,33,38,25,26,81,85,39,46
Kentucky,17,74800,74100,172,174,75,80,17,19,17,12,55,74,37,9
Louisiana,18,27400,27400,292,292,77,85,25,23,11,18,75,84,31,31
Maryland/Delaware,20,14700,14700,161,161,77,80,36,32,31,35,70,62,17,27
Michigan,22,47000,46000,209,211,81,84,34,41,25,27,74,79,37,36
Minnesota,23,68000,67400,375,377,82,83,27,27,31,30,67,76,28,28
Mississippi,24,34500,34300,301,303,69,76,25,21,16,11,49,81,21,17
Missouri,25,95200,95000,290,289,70,79,21,28,12,16,64,77,35,20
Montana,26,26800,27100,2164,2137,83,88,29,32,26,22,81,77,27,28
Nebraska,27,45700,44800,982,1000,84,85,25,31,26,31,74,80,35,51
New England (CT/ME/MA/NH/RI/VT),29,32300,32300,105,105,94,97,41,45,33,30,88,70,46,24
New Jersey,30,9900,9900,76,76,91,91,44,35,27,19,84,72,33,27
New Mexico,31,24800,24700,1613,1619,42,50,16,13,12,11,36,53,6,12
New York,32,33400,33400,207,207,81,81,42,46,24,27,69,69,41,26
North Carolina,33,46200,45100,182,184,76,83,29,38,19,26,69,88,38,23
North Dakota,34,26100,26000,1506,1512,82,82,30,29,29,29,73,72,42,54
Ohio,35,77800,76900,175,176,63,64,16,18,15,16,54,58,17,30
Oklahoma,36,77300,77200,445,446,75,80,24,30,13,13,57,80,18,18
Oregon,37,37200,37100,425,423,83,91,42,42,29,28,84,86,40,20
Pennsylvania,38,52700,52700,139,139,64,64,24,28,14,18,52,53,20,20
South Carolina,40,24600,24600,195,195,74,79,15,26,18,23,66,84,19,10
South Dakota,41,29600,29400,1459,1469,82,90,28,27,26,27,81,81,42,53
Tennessee,42,69700,69500,155,154,65,80,24,30,19,20,69,77,17,31
Texas,43,247000,247000,512,510,75,83,15,18,10,8,65,89,22,13
Utah,44,17800,17900,601,598,92,96,34,45,38,36,77,85,42,31
Virginia,46,42400,41500,184,186,70,74,20,30,11,18,63,71,19,8
Washington,47,35600,35300,410,411,86,86,31,41,30,32,78,63,33,21
West Virginia,48,22900,22300,153,157,62,73,20,16,17,11,54,56,21,7
Wisconsin,49,64900,64100,220,222,82,82,23,28,22,22,65,67,26,15
Wyoming,50,12000,12200,2417,2377,88,89,27,25,30,23,76,90,39,33
